gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,0,0,11,1,False,Fiber optic,False,True,True,True,False,True,Month-to-month,1,Electronic check,94.1999969482422,999.9000244140624,0
Male,0,1,1,60,1,False,DSL,True,True,True,True,False,False,One year,1,Bank transfer (automatic),65.8499984741211,3928.300048828125,0
Male,0,0,0,1,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.799999237060547,20.799999237060547,0
Female,1,1,0,5,1,True,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Electronic check,74.3499984741211,334.79998779296875,1
Female,0,1,1,52,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.049999237060547,1270.25,0
Female,0,0,0,1,1,False,Fiber optic,False,False,True,False,False,False,Month-to-month,0,Electronic check,76.3499984741211,76.3499984741211,1
Male,0,1,1,53,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.549999237060547,1336.0999755859375,0
Female,0,1,1,32,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),91.05,2954.5,1
Male,1,0,0,68,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,95.9,6503.2,0
Male,1,1,0,36,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.1,3021.6,1
Female,0,1,0,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.6,1888.25,0
Male,0,1,0,30,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.799999237060547,576.6500244140625,0
Female,0,0,0,3,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,24.600000381469727,86.3499984741211,0
Male,0,0,1,17,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,50.3,846.8,0
Male,1,1,1,68,1,True,Fiber optic,False,False,True,True,True,True,One year,1,Credit card (automatic),107.1500015258789,7379.7998046875,0
Female,1,1,0,68,1,True,Fiber optic,False,True,False,False,False,True,Month-to-month,1,Bank transfer (automatic),89.5999984741211,6127.60009765625,1
Male,0,1,0,62,0,No,DSL,False,False,False,True,True,False,Two year,1,Bank transfer (automatic),39.0,2337.449951171875,0
Female,1,1,0,32,1,True,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,93.1999969482422,2931.0,1
Male,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,75.05,786.3,0
Female,0,1,0,64,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.4,6794.75,0
Male,0,1,1,34,1,False,Fiber optic,False,False,False,False,True,False,Month-to-month,0,Electronic check,78.30000305175781,2564.300048828125,1
Male,0,1,1,66,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Mailed check,65.85,4097.05,0
Male,0,0,0,9,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.8,704.3,0
Female,0,0,0,5,1,False,DSL,True,False,False,True,True,False,Month-to-month,1,Electronic check,64.3499984741211,352.6499938964844,0
Male,0,1,1,20,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,49.6,939.8,0
Male,0,0,0,72,0,No,DSL,True,True,True,True,True,True,Two year,1,Bank transfer (automatic),65.55000305175781,4807.4501953125,0
Male,0,0,0,31,1,True,DSL,False,True,False,True,True,False,Month-to-month,1,Electronic check,71.05000305175781,2168.14990234375,0
Female,0,1,1,9,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.85,647.5,0
Female,0,0,0,18,0,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,Electronic check,35.2,607.3,0
Female,0,0,0,72,1,True,Fiber optic,True,True,True,False,True,False,Two year,1,Bank transfer (automatic),101.3000030517578,7261.25,0
Female,0,0,0,1,1,True,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Mailed check,75.05000305175781,75.05000305175781,1
Male,0,1,1,51,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,0,Bank transfer (automatic),84.2,4299.75,0
Male,0,0,0,8,1,True,Fiber optic,False,True,False,False,True,True,Month-to-month,0,Electronic check,100.8499984741211,819.5499877929688,1
Male,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,50.7,50.7,0
Male,0,1,1,18,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.05,345.9,0
Female,0,0,0,56,0,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),44.85,2564.95,0
Male,0,0,0,24,1,False,DSL,False,False,False,True,False,False,Month-to-month,1,Credit card (automatic),51.09999847412109,1269.5999755859375,0
Male,0,0,0,27,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.399999618530277,529.7999877929688,0
Male,0,0,0,5,1,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),65.6,339.9,0
Female,0,0,0,32,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,101.35,3334.9,0
Male,0,0,0,63,1,True,DSL,True,True,True,True,False,False,One year,0,Bank transfer (automatic),68.80000305175781,4111.35009765625,0
Male,0,1,1,72,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.200000762939453,1798.9000244140625,0
Female,0,0,0,41,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),70.25,2868.05,1
Male,0,0,0,1,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.399999618530277,20.399999618530277,0
Male,0,0,0,1,1,False,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Electronic check,69.9000015258789,69.9000015258789,1
Female,1,1,0,34,1,No,DSL,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),64.2,2106.3,0
Male,1,1,0,54,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),24.95,1364.75,0
Female,0,1,1,1,1,False,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Electronic check,74.69999694824219,74.69999694824219,1
Female,0,0,0,8,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.5,632.2,0
Male,0,1,0,23,1,True,Fiber optic,False,True,True,False,False,False,Month-to-month,0,Electronic check,84.25,1968.0999755859373,0
Female,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.3,41.2,0
Male,0,0,0,65,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.1,1725.0,0
Female,0,1,1,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.2,7711.45,0
Female,1,0,0,8,1,False,Fiber optic,False,False,True,False,True,True,Month-to-month,1,Electronic check,92.0999984741211,729.9500122070312,1
Female,0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,123.65,0
Female,0,0,0,3,1,False,DSL,False,True,False,True,True,True,Month-to-month,1,Electronic check,75.30000305175781,244.1000061035156,0
Female,0,0,0,60,1,True,Fiber optic,False,False,True,False,False,False,One year,1,Bank transfer (automatic),79.19999694824219,4765.0,0
Female,0,1,0,59,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,0,Electronic check,93.35,5386.5,0
Female,0,0,0,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,0
Female,1,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,91.3,1094.5,1
Male,1,1,0,33,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),100.6,3270.25,0
Male,0,0,0,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.2,684.4,0
Male,0,1,0,57,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Electronic check,55.7,3171.6,0
Female,1,1,0,71,1,True,Fiber optic,True,True,True,True,False,False,Two year,1,Credit card (automatic),96.3499984741211,6766.9501953125,0
Male,0,0,0,11,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.5,226.8000030517578,0
Male,1,1,0,17,1,False,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Electronic check,76.44999694824219,1233.4000244140625,1
Male,0,1,1,5,1,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),64.4,316.9,0
Male,0,0,0,26,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,83.95,2254.2,1
Male,0,1,0,1,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,0,Mailed check,55.7,55.7,0
Female,1,0,0,44,1,False,DSL,False,False,True,True,True,True,One year,0,Bank transfer (automatic),74.8499984741211,3268.050048828125,0
Male,0,1,1,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.0,445.3,0
Male,0,0,0,2,1,False,Fiber optic,False,False,False,False,True,False,Month-to-month,1,Electronic check,79.94999694824219,174.4499969482422,0
Female,0,1,0,66,1,True,Fiber optic,False,True,True,True,False,False,One year,1,Bank transfer (automatic),90.5500030517578,6130.9501953125,0
Female,0,0,1,26,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,1147.0,0
Female,1,0,0,6,1,False,Fiber optic,True,False,False,False,False,False,Month-to-month,1,Electronic check,74.0999984741211,450.8999938964844,0
Female,0,1,1,20,1,True,Fiber optic,False,False,True,True,False,True,Month-to-month,1,Bank transfer (automatic),95.5,1916.199951171875,0
Male,1,0,0,10,1,False,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Electronic check,72.8499984741211,688.6500244140625,1
Female,0,0,0,2,1,False,DSL,False,True,False,True,False,False,Month-to-month,1,Credit card (automatic),55.04999923706055,102.75,1
Female,0,1,0,55,1,True,Fiber optic,True,False,False,False,True,False,Month-to-month,1,Bank transfer (automatic),89.80000305175781,4959.60009765625,0
Male,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),92.3,6719.9,0
Male,0,0,0,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.35,533.6,0
Male,0,0,0,34,1,False,DSL,True,False,True,False,False,False,One year,0,Mailed check,56.95000076293945,1889.5,0
Male,0,1,0,17,1,False,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Bank transfer (automatic),70.4000015258789,1214.050048828125,1
Male,0,0,0,24,1,False,Fiber optic,False,True,True,True,False,False,Month-to-month,1,Electronic check,85.94999694824219,2107.14990234375,0
Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,45.3,45.3,1
Male,0,1,0,57,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,103.05,5925.75,0
Male,0,1,0,64,1,True,Fiber optic,False,True,False,True,True,True,Two year,1,Electronic check,105.25,6823.39990234375,0
Male,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1
Female,0,1,0,52,1,False,DSL,True,False,True,False,True,False,One year,1,Mailed check,64.30000305175781,3410.60009765625,0
Male,0,1,1,43,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,1,Credit card (automatic),91.25,4013.8,0
Female,0,0,0,1,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.149999618530277,20.149999618530277,1
Male,0,0,1,39,1,True,Fiber optic,False,False,False,True,True,True,Two year,0,Mailed check,100.5500030517578,3895.35009765625,0
Female,1,1,1,55,1,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,0,Electronic check,76.25,4154.55,0
Female,0,0,0,18,1,True,Fiber optic,False,False,False,True,True,False,Month-to-month,1,Electronic check,88.3499984741211,1639.300048828125,1
Male,0,1,1,70,1,True,Fiber optic,True,True,False,False,True,True,Month-to-month,1,Electronic check,106.0500030517578,7554.0498046875,0
Male,0,1,0,37,1,False,Fiber optic,False,False,True,True,False,True,Month-to-month,1,Electronic check,90.3499984741211,3419.300048828125,0
Female,0,1,1,54,1,True,DSL,True,True,True,True,True,True,Two year,0,Credit card (automatic),91.3000030517578,4965.0,0
Male,0,1,0,67,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Electronic check,93.15,6368.2,0
Male,0,1,1,71,1,True,Fiber optic,True,False,True,False,True,True,Two year,0,Electronic check,105.5500030517578,7405.5,0
Female,0,0,0,15,1,True,Fiber optic,True,False,True,False,False,False,Month-to-month,1,Credit card (automatic),84.3499984741211,1302.6500244140625,0
Male,0,0,0,52,1,False,Fiber optic,False,True,False,False,False,True,Month-to-month,1,Electronic check,85.3499984741211,4338.60009765625,1
Male,1,0,0,4,1,False,Fiber optic,False,False,False,False,False,False,Month-to-month,0,Electronic check,69.3499984741211,261.6499938964844,0
Female,0,0,0,36,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),104.8,3886.45,0
Male,0,0,1,1,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,1
Male,0,1,1,28,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),100.35,2799.0,0
Female,0,1,1,8,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.799999237060547,160.0500030517578,0
Female,0,1,1,13,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,18.8,251.25,0
Male,1,0,0,45,1,False,DSL,True,False,True,False,False,True,One year,0,Credit card (automatic),62.70000076293945,2791.5,1
Male,0,1,1,72,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1493.75,0
Female,0,0,0,41,0,No,DSL,False,True,False,False,False,True,Month-to-month,1,Electronic check,40.34999847412109,1677.8499755859375,0
Female,0,1,1,16,1,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,0,Bank transfer (automatic),68.25,1114.85,0
Female,0,0,0,51,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.95,1288.0,0
Female,0,1,0,70,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),64.55,4504.9,0
Male,0,0,0,69,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.950000762939453,1399.3499755859375,0
Female,0,1,1,70,1,False,DSL,True,True,True,True,False,True,One year,0,Credit card (automatic),74.0999984741211,5222.2998046875,0
Female,0,1,0,23,1,No,DSL,No,No,No,Yes,Yes,No,One year,0,Bank transfer (automatic),60.0,1347.15,0
Male,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,33.2,1
Male,1,1,0,43,1,True,Fiber optic,False,True,False,True,True,False,Month-to-month,1,Electronic check,94.3000030517578,3953.14990234375,0
Female,0,1,1,72,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.75,1679.25,0
Male,0,0,0,53,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.049999237060547,1301.9000244140625,0
Female,0,0,1,1,1,False,DSL,True,False,False,False,False,False,Month-to-month,0,Mailed check,51.20000076293945,51.20000076293945,0
Female,0,0,0,1,1,False,Fiber optic,False,True,False,True,True,False,Month-to-month,0,Electronic check,91.6999969482422,91.6999969482422,1
Female,1,0,0,2,1,True,Fiber optic,False,True,False,False,False,True,Month-to-month,0,Electronic check,89.5,161.5,1
Male,0,1,0,14,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.15,1139.2,1
Female,0,0,0,2,1,True,DSL,False,False,False,False,False,False,Month-to-month,1,Electronic check,49.400001525878906,106.5500030517578,1
Female,0,0,0,58,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.9,3795.45,0
Female,0,0,1,4,1,False,Fiber optic,False,False,True,True,True,True,Month-to-month,1,Bank transfer (automatic),98.0999984741211,396.2999877929688,1
Male,0,0,0,65,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,1654.75,0
Male,0,1,0,61,1,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,1,Mailed check,69.9,4226.7,0
Male,0,0,0,1,1,False,DSL,False,False,False,True,False,False,Month-to-month,1,Electronic check,49.29999923706055,49.29999923706055,0
Male,0,0,1,15,1,True,Fiber optic,False,True,False,False,True,False,Month-to-month,1,Electronic check,91.0,1430.050048828125,0
Female,0,0,0,6,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,85.95,514.6,0
Female,0,0,0,17,1,False,Fiber optic,False,True,False,False,True,False,Month-to-month,1,Electronic check,83.55000305175781,1329.1500244140625,0
Male,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.85,1872.2,0
Male,0,1,1,37,1,False,Fiber optic,False,False,False,False,True,True,One year,0,Credit card (automatic),91.1999969482422,3247.550048828125,0
Male,0,1,0,36,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.0,666.75,0
Female,0,1,1,23,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),91.1,2198.3,0
Female,1,0,0,66,1,True,Fiber optic,False,False,True,True,True,True,One year,1,Credit card (automatic),102.8499984741211,6976.75,0
Male,0,1,1,35,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.600000381469727,686.9500122070312,0
Male,0,1,0,70,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),72.95,5265.55,0
Male,1,0,0,16,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,39.0,679.85,1
Male,0,1,1,58,1,True,Fiber optic,False,True,False,True,True,False,One year,1,Credit card (automatic),94.6999969482422,5430.35009765625,0
Male,0,0,0,55,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Mailed check,100.9,5552.05,0
Female,1,0,0,45,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),100.15,4459.8,0
Female,1,1,0,60,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,1,Credit card (automatic),49.45,2907.55,0
Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.25,327.45,1
Male,0,1,1,54,0,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),46.0,2424.05,0
Male,1,0,0,13,1,False,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,90.5,1201.1500244140625,1
Male,0,1,1,8,1,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,1,Credit card (automatic),76.15,645.8,0
Male,0,1,0,46,0,No,DSL,True,False,True,True,False,False,Two year,0,Credit card (automatic),40.400001525878906,1842.699951171875,0
Female,0,1,1,13,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),54.15,701.05,0
Female,0,0,0,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.5,1035.7,0
